epoch 1 / 9100, step 1/225, loss = 0.0602 
epoch 1 / 9100, step 2/225, loss = 0.0474 
epoch 1 / 9100, step 3/225, loss = 0.0427 
epoch 1 / 9100, step 4/225, loss = 0.0462 
epoch 1 / 9100, step 5/225, loss = 0.0388 
epoch 1 / 9100, step 6/225, loss = 0.0387 
epoch 1 / 9100, step 7/225, loss = 0.0374 
epoch 1 / 9100, step 8/225, loss = 0.0386 
epoch 1 / 9100, step 9/225, loss = 0.0389 
epoch 1 / 9100, step 10/225, loss = 0.0395 
epoch 1 / 9100, step 11/225, loss = 0.0359 
epoch 1 / 9100, step 12/225, loss = 0.0399 
epoch 1 / 9100, step 13/225, loss = 0.0379 
epoch 1 / 9100, step 14/225, loss = 0.0374 
epoch 1 / 9100, step 15/225, loss = 0.0386 
epoch 1 / 9100, step 16/225, loss = 0.0399 
epoch 1 / 9100, step 17/225, loss = 0.0404 
epoch 1 / 9100, step 18/225, loss = 0.0356 
epoch 1 / 9100, step 19/225, loss = 0.0375 
epoch 1 / 9100, step 20/225, loss = 0.0373 
epoch 1 / 9100, step 21/225, loss = 0.0380 
epoch 1 / 9100, step 22/225, loss = 0.0363 
epoch 1 / 9100, step 23/225, loss = 0.0376 
epoch 1 / 9100, step 24/225, loss = 0.0347 
epoch 1 / 9100, step 25/225, loss = 0.0373 
epoch 1 / 9100, step 26/225, loss = 0.0349 
epoch 1 / 9100, step 27/225, loss = 0.0352 
epoch 1 / 9100, step 28/225, loss = 0.0349 
epoch 1 / 9100, step 29/225, loss = 0.0316 
epoch 1 / 9100, step 30/225, loss = 0.0311 
epoch 1 / 9100, step 31/225, loss = 0.0339 
epoch 1 / 9100, step 32/225, loss = 0.0313 
epoch 1 / 9100, step 33/225, loss = 0.0278 
epoch 1 / 9100, step 34/225, loss = 0.0271 
epoch 1 / 9100, step 35/225, loss = 0.0307 
epoch 1 / 9100, step 36/225, loss = 0.0363 
epoch 1 / 9100, step 37/225, loss = 0.0309 
epoch 1 / 9100, step 38/225, loss = 0.0322 
epoch 1 / 9100, step 39/225, loss = 0.0298 
epoch 1 / 9100, step 40/225, loss = 0.0294 
epoch 1 / 9100, step 41/225, loss = 0.0303 
epoch 1 / 9100, step 42/225, loss = 0.0260 
epoch 1 / 9100, step 43/225, loss = 0.0311 
epoch 1 / 9100, step 44/225, loss = 0.0286 
epoch 1 / 9100, step 45/225, loss = 0.0279 
epoch 1 / 9100, step 46/225, loss = 0.0297 
epoch 1 / 9100, step 47/225, loss = 0.0266 
epoch 1 / 9100, step 48/225, loss = 0.0290 
epoch 1 / 9100, step 49/225, loss = 0.0272 
epoch 1 / 9100, step 50/225, loss = 0.0285 
epoch 1 / 9100, step 51/225, loss = 0.0266 
epoch 1 / 9100, step 52/225, loss = 0.0254 
epoch 1 / 9100, step 53/225, loss = 0.0297 
epoch 1 / 9100, step 54/225, loss = 0.0254 
epoch 1 / 9100, step 55/225, loss = 0.0257 
epoch 1 / 9100, step 56/225, loss = 0.0280 
epoch 1 / 9100, step 57/225, loss = 0.0273 
epoch 1 / 9100, step 58/225, loss = 0.0243 
epoch 1 / 9100, step 59/225, loss = 0.0282 
epoch 1 / 9100, step 60/225, loss = 0.0268 
